giddy,-0.6
gift,1.9
giggle,1.8
giggled,1.5
giggling,1.5
giver,1.4
giving,1.4
glad,2
gladly,1.4
glamor,2.1
glamorizes,2.4
glamorizing,1.8
glamorous,2.3
glamorously,2.1
glamour,2.4
glee,3.2
gloom,-2.6
gloomy,-0.6
glories,2.1
glorified,2.3
glorious,3.2
glory,2.5
glum,-2.1
god,1.1
godsend,2.8
good,2.5
goodness,2
gorgeous,3
gorgeously,2.3
gossip,-0.7
gossips,-1.3
gossipy,-1.3
grace,1.8
graced,0.9
graceful,2
gracefully,2.4
graces,1.6
gracious,2.6
graciousness,2.4
grand,2
grandeur,2.4
grant,1.5
granted,1
granting,1.3
grants,0.9
grateful,2
gratifying,2.3
gratin,0.4
grating,-0.4
gratitude,2.3
grave,-1.6
gravel,-0.5
gravelly,-0.9
gravely,-1.5
graven,-0.9
graves,-1.2
gravest,-1.3
gravestone,-0.7
graveyard,-1.2
great,3.1
greater,1.5
greatest,3.2
greed,-1.7
greediness,-1.7
greedy,-1.3
greet,1.3
greeted,1.1
greeting,1.6
greetings,1.8
grey,0.2
grief,-2.2
grievance,-2.1
grieving,-2.3
grievous,-2
grim,-2.7
grime,-1.5
grimes,-1
grimy,-1.8
grin,2.1
grinning,1.5
grins,0.9
gross,-2.1
grossed,-0.4
grossest,-2.1
grossly,-0.9
grouch,-2.2
grouchy,-1.9
growing,0.7
growth,1.6
grrr,-0.4
grumpy,-3
gu?,-1.4
guarantee,1
guilt,-1.1
guilty,-1.8
gullible,-1.5
gun,-1.4
ha,1.4
hacked,-1.7
hail,0.3
hailed,0.9
hallelujah,3
hand,2.2
handsome,2.2
handsomely,1.9
handsomer,2
handsomest,2.6
happi,3
happier,2.4
happiest,3.2
happily,2.6
happiness,2.6
happy,2.7
harass,-2.2
harassed,-2.5
harassing,-2.5
harassment,-2.5
hard,-0.4
hardship,-1.3
hardy,1.7
harm,-2.5
harmed,-2.1
harming,-2.6
harmless,1
harmlessly,1.4
harmonica,0.6
harmonies,1.3
harmony,1.7
harms,-2.2
harried,-1.4
harsh,-1.9
harshest,-2.9
hate,-2.7
hated,-3.2
hateful,-2.2
hater,-1.8
haters,-2.2
hates,-1.9
hating,-2.3
hatred,-3.2
haunt,-1.7
haunted,-2.1
haunting,-1.1
haunts,-1
havoc,-2.9
healthy,1.7
heartbreak,-2.7
heartbreaker,-2.2
heartbreaking,-2
heartbroken,-3.3
heartfelt,2.5
heartless,-2.2
hearttoheart,3
heartwarming,2.1
heaven,2.3
heavenly,3
heavens,1.7
heh,-0.6
hehheh,2.6
hell,-3.6
hellish,-3.2
help,1.7
helper,1.4
helpers,1.1
helpful,1.8
helping,1.2
helpless,-2
helps,1.6
hero,2.6
heroes,2.3
heroic,2.6
heroically,2.4
heroics,2.4
heroin,-2.2
heroine,2.7
heroism,2.8
hesitate,-1.1
hesitated,-1.3
hesitating,-1.4
hid,-0.4
hide,-0.7
hides,-0.7
hiding,-1.2
highlight,1.4
hilarious,1.7
hoax,-1.1
holiday,1.7
holidays,1.6
holy,1.2
homesick,-0.7
homesickness,-1.8
honest,2.3
honestly,2
honesty,2.2
honor,2.2
honorable,2.5
honorarium,0.7
honorary,1.4
honored,2.8
honoree,2.1
honoring,2.3
honors,2.3
hooligan,-1.5
hooligans,-1.1
hooray,2.3
hope,1.9
hoped,1.6
hopeful,2.3
hopefully,1.7
hopeless,-2
hopelessly,-2.2
hopes,1.8
hoping,1.8
horrible,-2.5
horribly,-2.4
horrid,-2.5
horrific,-3.4
horrified,-2.5
horrify,-2.5
horrifying,-2.7
horror,-2.7
horrors,-2.7
hostile,-1.6
hostility,-2.5
hug,2.1
huge,1.3
hugged,1.7
hugger,1.6
huggers,1.8
hugging,1.8
hugs,2.2
humiliate,-2.5
humiliated,-1.4
humiliates,-1
humiliating,-1.2
humiliation,-2.7
